Film,Date,Year,Weekend,Gross
Joe,7/26/1970,1970,30,2835395
Chisum,8/2/1970,1970,31,3583537
Chisum,8/9/1970,1970,32,3249893
Chisum,8/16/1970,1970,33,2583395
Diary of a Mad Housewife,8/23/1970,1970,34,4183498
Diary of a Mad Housewife,8/30/1970,1970,35,2965689
Diary of a Mad Housewife,9/6/1970,1970,36,2482535
Five Easy Pieces,9/13/1970,1970,37,3583395
Five Easy Pieces,9/20/1970,1970,38,2583358
Tora! Tora! Tora!,9/27/1970,1970,39,4363853
Tora! Tora! Tora!,10/4/1970,1970,40,4294535
Tora! Tora! Tora!,10/11/1970,1970,41,3824395
Tora! Tora! Tora!,10/18/1970,1970,42,3274835
Trog,10/25/1970,1970,43,2900583
The Private Life of Sherlock Holmes,11/1/1970,1970,44,3583684
Scrooge,11/8/1970,1970,45,3844395
The Owl and the Pussycat,11/15/1970,1970,46,4348853
The Owl and the Pussycat,11/22/1970,1970,47,4735350
The Owl and the Pussycat,11/29/1970,1970,48,3943846
The Owl and the Pussycat,12/6/1970,1970,49,3184483
The Owl and the Pussycat,12/13/1970,1970,50,2583359
Love Story,12/20/1970,1970,51,4385285
Love Story,12/27/1970,1970,52,4342583
Love Story,1/3/1971,1971,1,4539395
Love Story,1/10/1971,1971,2,4345694
Love Story,1/17/1971,1971,3,3963974
Love Story,1/24/1971,1971,4,3604395
Love Story,1/31/1971,1971,5,3204593
Love Story,2/7/1971,1971,6,2402403
Love Story,2/14/1971,1971,7,2320923
Cold Turkey,2/21/1971,1971,8,3490934
Cold Turkey,2/28/1971,1971,9,2942432
Love Story,3/7/1971,1971,10,3395904
Love Story,3/14/1971,1971,11,2932593
Get Carter,3/21/1971,1971,12,3094305
Get Carter,3/28/1971,1971,13,2954294
Get Carter,4/4/1971,1971,14,1493294
Summer of '42,4/11/1971,1971,15,4765953
Summer of '42,4/18/1971,1971,16,4398935
Sweet Sweetback's Baadasssss Song,4/25/1971,1971,17,4330024
Bananas,5/2/1971,1971,18,3935035
Sweet Sweetback's Baadasssss Song,5/9/1971,1971,19,3593395
Sweet Sweetback's Baadasssss Song,5/16/1971,1971,20,3242935
Escape from the Planet of the Apes,5/23/1971,1971,21,4294942
Big Jake,5/30/1971,1971,22,4935485
Big Jake,6/6/1971,1971,23,3000000
Big Jake,6/13/1971,1971,24,2424853
Willard,6/20/1971,1971,25,3823853
Klute,6/27/1971,1971,26,4935329
Shaft,7/4/1971,1971,27,4204935
Shaft,7/11/1971,1971,28,3924249
Shaft,7/18/1971,1971,29,3824294
Shaft,7/25/1971,1971,30,2593935
Shaft,8/1/1971,1971,31,1482943
The Omega Man,8/8/1971,1971,32,3294924
The Omega Man,8/15/1971,1971,33,2424895
The Omega Man,8/22/1971,1971,34,1294924
And Now for Something Completely Different,8/29/1971,1971,35,3535394
And Now for Something Completely Different,9/5/1971,1971,36,2494932
And Now for Something Completely Different,9/12/1971,1971,37,1932492
Kotch,9/19/1971,1971,38,3935395
Kotch,9/26/1971,1971,39,2000000
Kotch,10/3/1971,1971,40,1893935
The French Connection,10/10/1971,1971,41,5934294
The French Connection,10/17/1971,1971,42,5294193
The Last Picture Show,10/24/1971,1971,43,4538395
The French Connection,10/31/1971,1971,44,5189943
Play Misty for Me,11/7/1971,1971,45,3942943
Fiddler on the Roof,11/14/1971,1971,46,5742824
Fiddler on the Roof,11/21/1971,1971,47,4395593
Fiddler on the Roof,11/28/1971,1971,48,3943294
Fiddler on the Roof,12/5/1971,1971,49,3103193
Fiddler on the Roof,12/12/1971,1971,50,2392203
Diamonds Are Forever,12/19/1971,1971,51,5724359
Dirty Harry,12/26/1971,1971,52,5555505
Dirty Harry,1/2/1972,1972,1,3439594
Dirty Harry,1/9/1972,1972,2,3259395
The Cowboys,1/16/1972,1972,3,3694906
The Cowboys,1/23/1972,1972,4,3452395
The Hot Rock,1/30/1972,1972,5,3583935
The Hot Rock,2/6/1972,1972,6,2593964
Cabaret,2/13/1972,1972,7,3536394
Cabaret,2/20/1972,1972,8,4939385
Cabaret,2/27/1972,1972,9,4924295
Cabaret,3/5/1972,1972,10,3948395
"What's Up, Doc?",3/12/1972,1972,11,4305583
The Godfather,3/19/1972,1972,12,5900389
The Godfather,3/26/1972,1972,13,6900823
The Godfather,4/2/1972,1972,14,6000424
The Godfather,4/9/1972,1972,15,5385843
The Godfather,4/16/1972,1972,16,5158835
The Godfather,4/23/1972,1972,17,4948846
The Godfather,4/30/1972,1972,18,4386893
"Play It Again, Sam",5/7/1972,1972,19,4853864
The Godfather,5/14/1972,1972,20,4684395
The Godfather,5/21/1972,1972,21,3483583
The Godfather,5/28/1972,1972,22,3294864
The Godfather,6/4/1972,1972,23,2593395
Shaft's Big Score,6/11/1972,1972,24,4943640
Shaft's Big Score,6/18/1972,1972,25,2583405
Shaft's Big Score,6/25/1972,1972,26,1593390
Conquest of the Planet of the Apes,7/2/1972,1972,27,4395549
Butterflies Are Free,7/9/1972,1972,28,3944935
Joe Kidd,7/16/1972,1972,29,3853583
Joe Kidd,7/23/1972,1972,30,2943932
Fat City,7/30/1972,1972,31,3584395
Deliverance,8/6/1972,1972,32,4593395
Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask),8/13/1972,1972,33,4965395
Deliverance,8/20/1972,1972,34,4964935
Deliverance,8/27/1972,1972,35,3438395
Deliverance,9/3/1972,1972,36,3284294
Deliverance,9/10/1972,1972,37,2489853
Deliverance,9/17/1972,1972,38,2148395
Deliverance,9/24/1972,1972,39,1482294
Sounder,10/1/1972,1972,40,3593390
Sounder,10/8/1972,1972,41,3249724
Lady Sings the Blues,10/15/1972,1972,42,4385395
Lady Sings the Blues,10/22/1972,1972,43,3924943
Lady Sings the Blues,10/29/1972,1972,44,3274284
Lady Sings the Blues,11/5/1972,1972,45,2348593
1776,11/12/1972,1972,46,3948684
1776,11/19/1972,1972,47,2492934
1776,11/26/1972,1972,48,2142843
1776,12/3/1972,1972,49,1473389
Lady Sings the Blues,12/10/1972,1972,50,3924294
The Poseidon Adventure,12/17/1972,1972,51,5395945
Jeremiah Johnson,12/24/1972,1972,52,5683395
The Getaway,12/31/1972,1972,53,4935356
The Poseidon Adventure,1/7/1973,1973,1,4394394
The Poseidon Adventure,1/14/1973,1973,2,3604495
The Poseidon Adventure,1/21/1973,1973,3,3423943
The Poseidon Adventure,1/28/1973,1973,4,3124034
The Poseidon Adventure,2/4/1973,1973,5,2950304
Last Tango in Paris,2/11/1973,1973,6,4924583
Save the Tiger,2/18/1973,1973,7,3833583
Walking Tall,2/25/1973,1973,8,3593435
Charlotte's Web,3/4/1973,1973,9,4503035
Charlotte's Web,3/11/1973,1973,10,3683395
Tom Sawyer,3/18/1973,1973,11,3730954
Charley and the Angel,3/25/1973,1973,12,3845495
Charley and the Angel,4/1/1973,1973,13,3284539
Charlotte's Web,4/8/1973,1973,14,3589495
Charlotte's Web,4/15/1973,1973,15,2953395
Charlotte's Web,4/22/1973,1973,16,2537359
Charley and the Angel,4/29/1973,1973,17,3483395
Charley and the Angel,5/6/1973,1973,18,2593954
Paper Moon,5/13/1973,1973,19,4394394
Hitler: The Last Ten Days,5/20/1973,1973,20,3583498
Paper Moon,5/27/1973,1973,21,3394945
Pat Garrett and Billy the Kid,6/3/1973,1973,22,3593394
Paper Moon,6/10/1973,1973,23,3293394
Battle for the Planet of the Apes,6/17/1973,1973,24,4864355
Battle for the Planet of the Apes,6/24/1973,1973,25,4294934
Live and Let Die,7/1/1973,1973,26,4384395
Live and Let Die,7/8/1973,1973,27,4295395
Lady Ice,7/15/1973,1973,28,3294394
Enter the Dragon,7/22/1973,1973,29,6545395
Enter the Dragon,7/29/1973,1973,30,5395735
Enter the Dragon,8/5/1973,1973,31,4294943
Enter the Dragon,8/12/1973,1973,32,3924294
American Graffiti,8/19/1973,1973,33,3594954
High Plains Drifter,8/26/1973,1973,34,3684395
American Graffiti,9/2/1973,1973,35,3356395
American Graffiti,9/9/1973,1973,36,3123284
American Graffiti,9/16/1973,1973,37,2956485
American Graffiti,9/23/1973,1973,38,2864385
American Graffiti,9/30/1973,1973,39,2574395
American Graffiti,10/7/1973,1973,40,2943943
Mean Streets,10/14/1973,1973,41,3954942
The Way We Were,10/21/1973,1973,42,4683935
The Way We Were,10/28/1973,1973,43,4342593
The Way We Were,11/4/1973,1973,44,3496935
Robin Hood,11/11/1973,1973,45,4784395
Robin Hood,11/18/1973,1973,46,4593594
Robin Hood,11/25/1973,1973,47,4348923
Robin Hood,12/2/1973,1973,48,3495395
Serpico,12/9/1973,1973,49,3126395
Papillon,12/16/1973,1973,50,5385395
Papillon,12/23/1973,1973,51,4395694
Magnum Force,12/30/1973,1973,52,6871011
The Exorcist,1/6/1974,1974,1,6875496
The Exorcist,1/13/1974,1974,2,6890000
The Exorcist,1/20/1974,1974,3,5674579
The Exorcist,1/27/1974,1974,4,5309395
The Exorcist,2/3/1974,1974,5,4395953
The Exorcist,2/10/1974,1974,6,3574757
Blazing Saddles,2/17/1974,1974,7,4705358
Blazing Saddles,2/24/1974,1974,8,3794593
Blazing Saddles,3/3/1974,1974,9,3646365
Blazing Saddles,3/10/1974,1974,10,3503956
Blazing Saddles,3/17/1974,1974,11,3244894
Blazing Saddles,3/24/1974,1974,12,2483476
The Great Gatsby,3/31/1974,1974,13,3946395
The Sugarland Express,4/7/1974,1974,14,3835953
The Conversation,4/14/1974,1974,15,3853945
The Sugarland Express,4/21/1974,1974,16,3953395
Blazing Saddles,4/28/1974,1974,17,3573684
The Lords of Flatbush,5/4/1974,1974,18,3832942
Monty Python and the Holy Grail,5/12/1974,1974,19,4310392
"Dirty Mary, Crazy Larry",5/19/1974,1974,20,2694640
Thunderbolt and Lightfoot,5/26/1974,1974,21,4593935
Thunderbolt and Lightfoot,6/2/1974,1974,22,3000000
Herbie Rides Again,6/9/1974,1974,23,4305749
Herbie Rides Again,6/16/1974,1974,24,2392304
Chinatown,6/23/1974,1974,25,4034954
Chinatown,6/30/1974,1974,26,4023403
Chinatown,7/7/1974,1974,27,3530945
Chinatown,7/14/1974,1974,28,3120493
Chinatown,7/21/1974,1974,29,2359496
Death Wish,7/28/1974,1974,30,6987776
Death Wish,8/4/1974,1974,31,5000000
Death Wish,8/11/1974,1974,32,4657368
Death Wish,8/18/1974,1974,33,3946955
The Longest Yard,8/25/1974,1974,34,4249686
The Longest Yard,9/1/1974,1974,35,3204395
Chinatown,9/8/1974,1974,36,3687796
Chinatown,9/15/1974,1974,37,2832429
Chinatown,9/22/1974,1974,38,1456686
Chinatown,9/29/1974,1974,39,1358568
The Taking of Pelham One Two Three,10/6/1974,1974,40,4894694
The Texas Chain Saw Massacre,10/13/1974,1974,41,3593395
Airport 1975,10/20/1974,1974,42,4800489
Airport 1975,10/27/1974,1974,43,4183846
Airport 1975,11/3/1974,1974,44,3574536
Airport 1975,11/10/1974,1974,45,2357578
Earthquake,11/17/1974,1974,46,4684496
Earthquake,11/24/1974,1974,47,3958489
Earthquake,12/1/1974,1974,48,3289945
Earthquake,12/8/1974,1974,49,2905946
Young Frankenstein,12/15/1974,1974,50,5916574
The Godfather Part II,12/22/1974,1974,51,7000000
The Godfather Part II,12/29/1974,1974,52,4593594
The Godfather Part II,1/5/1975,1975,1,4024695
The Towering Inferno,1/12/1975,1975,2,4303042
The Towering Inferno,1/19/1975,1975,3,3900516
The Towering Inferno,1/26/1975,1975,4,3506432
The Towering Inferno,2/2/1975,1975,5,3340921
The Towering Inferno,2/9/1975,1975,6,2590690
The Towering Inferno,2/16/1975,1975,7,2310287
The Towering Inferno,2/23/1975,1975,8,1100932
At Long Last Love,3/2/1975,1975,9,3579424
The Towering Inferno,3/9/1975,1975,10,2982930
Shampoo,3/16/1975,1975,11,3409684
Tommy,3/23/1975,1975,12,3530043
Escape to Witch Mountain,3/30/1975,1975,13,3843953
Escape to Witch Mountain,4/6/1975,1975,14,2875394
Shampoo,4/13/1975,1975,15,3604042
Shampoo,4/20/1975,1975,16,2424590
Death Race 2000,4/27/1975,1975,17,4924694
The Day of the Locust,5/4/1975,1975,18,5672932
The Day of the Locust,5/11/1975,1975,19,4560385
The Day of the Locust,5/18/1975,1975,20,3953394
French Connection II,5/25/1975,1975,21,5585943
French Connection II,6/1/1975,1975,22,3545942
French Connection II,6/8/1975,1975,23,3000000
Nashville,6/15/1975,1975,24,3594503
Jaws,6/22/1975,1975,25,7061513
Jaws,6/29/1975,1975,26,7000000
Jaws,7/6/1975,1975,27,7010230
Jaws,7/13/1975,1975,28,6380980
Jaws,7/20/1975,1975,29,6210395
Jaws,7/27/1975,1975,30,6190817
Jaws,8/3/1975,1975,31,5910469
Jaws,8/10/1975,1975,32,5729496
Jaws,8/17/1975,1975,33,4940596
Jaws,8/24/1975,1975,34,4835403
Jaws,8/31/1975,1975,35,4390240
Jaws,9/7/1975,1975,36,3900679
Jaws,9/14/1975,1975,37,3043079
Jaws,9/21/1975,1975,38,2604495
Three Days of the Condor,9/28/1975,1975,39,5670395
Dog Day Afternoon,10/5/1975,1975,40,4949562
Hard Times,10/12/1975,1975,41,3145503
Let's Do It Again,10/19/1975,1975,42,3403794
Let's Do It Again,10/26/1975,1975,43,3560350
Let's Do It Again,11/2/1975,1975,44,2596390
Let's Do It Again,11/9/1975,1975,45,2103305
Dog Day Afternoon,11/16/1975,1975,46,3975406
One Flew Over the Cuckoo's Nest,11/23/1975,1975,47,4900908
One Flew Over the Cuckoo's Nest,11/30/1975,1975,48,4379045
One Flew Over the Cuckoo's Nest,12/7/1975,1975,49,4210935
One Flew Over the Cuckoo's Nest,12/14/1975,1975,50,4000000
The Adventure of Sherlock Holmes' Smarter Brother,12/21/1975,1975,51,4560350
One Flew Over the Cuckoo's Nest,12/28/1975,1975,52,3503685
One Flew Over the Cuckoo's Nest,1/4/1976,1976,1,3892764
One Flew Over the Cuckoo's Nest,1/11/1976,1976,2,3509281
One Flew Over the Cuckoo's Nest,1/18/1976,1976,3,2481926
One Flew Over the Cuckoo's Nest,1/25/1976,1976,4,2144081
One Flew Over the Cuckoo's Nest,2/1/1976,1976,5,1280029
"Next Stop, Greenwich Village",2/8/1976,1976,6,3910624
Taxi Driver,2/15/1976,1976,7,4300461
Taxi Driver,2/22/1976,1976,8,3871265
Taxi Driver,2/29/1976,1976,9,3172391
To the Devil a Daughter,3/7/1976,1976,10,3561093
Robin and Marian,3/14/1976,1976,11,3872471
Robin and Marian,3/21/1976,1976,12,3516931
Taxi Driver,3/28/1976,1976,13,4231753
Taxi Driver,4/4/1976,1976,14,2827834
All the President's Men,4/11/1976,1976,15,4500827
The Bad News Bears,4/18/1976,1976,16,4781230
The Bad News Bears,4/25/1976,1976,17,3560817
All the President's Men,5/2/1976,1976,18,3829458
All the President's Men,5/9/1976,1976,19,3217562
All the President's Men,5/16/1976,1976,20,3120834
All the President's Men,5/23/1976,1976,21,2984924
The Man Who Fell to Earth,5/30/1976,1976,22,4437283
The Man Who Fell to Earth,6/6/1976,1976,23,3590238
The Man Who Fell to Earth,6/13/1976,1976,24,2985836
Silent Movie,6/20/1976,1976,25,3873912
The Omen,6/27/1976,1976,26,5897240
The Outlaw Josey Wales,7/4/1976,1976,27,3819942
The Outlaw Josey Wales,7/11/1976,1976,28,3174752
The Omen,7/18/1976,1976,29,3816785
The Omen,7/25/1976,1976,30,3103852
The Omen,8/1/1976,1976,31,2894525
The Omen,8/8/1976,1976,32,2623847
Futureworld,8/15/1976,1976,33,3847925
The Shootist,8/22/1976,1976,34,5340934
The Shootist,8/29/1976,1976,35,4614853
The Shootist,9/5/1976,1976,36,4371835
The Shootist,9/12/1976,1976,37,3902934
The Front,9/19/1976,1976,38,3874024
The Front,9/26/1976,1976,39,3535463
Marathon Man,10/10/1976,1976,41,4492489
Marathon Man,10/17/1976,1976,42,3983294
Burnt Offerings,10/24/1976,1976,43,4589492
Burnt Offerings,10/31/1976,1976,44,4219573
Carrie,11/7/1976,1976,45,3212954
Two-Minute Warning,11/14/1976,1976,46,3535455
Carrie,11/21/1976,1976,47,3584746
Carrie,11/28/1976,1976,48,3537135
Rocky,12/5/1976,1976,49,5631643
Silver Streak,12/12/1976,1976,50,5926357
A Star Is Born,12/19/1976,1976,51,7000745
A Star Is Born,12/26/1976,1976,52,6842823
The Enforcer,1/2/1977,1976,53,5986575
The Enforcer,1/9/1977,1977,1,4751936
The Enforcer,1/16/1977,1977,2,3810562
Rocky,1/23/1977,1977,3,4671600
Rocky,1/30/1977,1977,4,4591322
Rocky,2/6/1977,1977,5,3909809
Rocky,2/13/1977,1977,6,3575812
Rocky,2/20/1977,1977,7,3312647
Rocky,2/27/1977,1977,8,2981673
Rocky,3/6/1977,1977,9,2522183
Airport '77,3/13/1977,1977,10,3581754
Airport '77,3/20/1977,1977,11,3120978
Airport '77,3/27/1977,1977,12,2750712
The Many Adventures of Winnie the Pooh,4/3/1977,1977,13,3151567
The Many Adventures of Winnie the Pooh,4/10/1977,1977,14,2714675
Rocky,4/17/1977,1977,15,4812933
Annie Hall,4/24/1977,1977,16,5318100
Annie Hall,5/1/1977,1977,17,4000239
Annie Hall,5/8/1977,1977,18,3887673
The Car,5/15/1977,1977,19,3519513
The Car,5/22/1977,1977,20,2214146
Star Wars,5/29/1977,1977,21,7195573
Star Wars,6/5/1977,1977,22,5610723
Star Wars,6/12/1977,1977,23,5670923
The Deep,6/19/1977,1977,24,6900748
The Rescuers,6/26/1977,1977,25,6883278
The Rescuers,7/3/1977,1977,26,4510782
The Deep,7/10/1977,1977,27,4555687
The Island of Dr. Moreau,7/17/1977,1977,28,3565927
Star Wars,7/24/1977,1977,29,5454434
Star Wars,7/31/1977,1977,30,5023159
The Spy Who Loved Me,8/7/1977,1977,31,6675314
The Kentucky Fried Movie,8/14/1977,1977,32,4817318
The Kentucky Fried Movie,8/21/1977,1977,33,3565912
The Kentucky Fried Movie,8/28/1977,1977,34,2121137
Star Wars,9/4/1977,1977,35,5623098
Star Wars,9/11/1977,1977,36,3435910
Star Wars,9/18/1977,1977,37,3120928
Star Wars,9/25/1977,1977,38,3000000
Star Wars,10/2/1977,1977,39,2895916
"Oh, God!",10/9/1977,1977,40,3659152
Julia,10/16/1977,1977,41,3857012
Julia,10/23/1977,1977,42,3756129
Julia,10/30/1977,1977,43,2909759
Julia,11/6/1977,1977,44,2390451
Julia,11/13/1977,1977,45,2111849
Close Encounters of the Third Kind,11/20/1977,1977,46,6566912
Close Encounters of the Third Kind,11/27/1977,1977,47,6111730
The Goodbye Girl,12/4/1977,1977,48,5263691
Close Encounters of the Third Kind,12/11/1977,1977,49,5966714
Saturday Night Fever,12/18/1977,1977,50,5464912
Saturday Night Fever,12/25/1977,1977,51,4909571
Saturday Night Fever,1/1/1978,1977,52,4898756
Saturday Night Fever,1/8/1978,1978,1,4510726
Saturday Night Fever,1/15/1978,1978,2,4219538
Saturday Night Fever,1/22/1978,1978,3,3900000
Saturday Night Fever,1/29/1978,1978,4,3660851
Saturday Night Fever,2/5/1978,1978,5,3518839
Saturday Night Fever,2/12/1978,1978,6,2911840
Coming Home,2/19/1978,1978,7,3500716
Coming Home,2/26/1978,1978,8,3491278
Coming Home,3/5/1978,1978,9,3000000
Return from Witch Mountain,3/12/1978,1978,10,3628511
Straight Time,3/19/1978,1978,11,5812855
Straight Time,3/26/1978,1978,12,3981333
Gray Lady Down,4/2/1978,1978,13,4817449
Coming Home,4/9/1978,1978,14,4260811
Coming Home,4/16/1978,1978,15,3817453
Coming Home,4/23/1978,1978,16,3173709
The Last Waltz,4/30/1978,1978,17,5130351
The Last Waltz,5/7/1978,1978,18,3174021
The End,5/14/1978,1978,19,3519612
The Buddy Holly Story,5/21/1978,1978,20,4184566
The Buddy Holly Story,5/28/1978,1978,21,3901909
The Buddy Holly Story,6/4/1978,1978,22,2716925
Damien: Omen II,6/11/1978,1978,23,4712062
Jaws 2,6/18/1978,1978,24,9866023
Grease,6/25/1978,1978,25,9283817
Grease,7/2/1978,1978,26,8777716
Grease,7/9/1978,1978,27,8712900
Grease,7/16/1978,1978,28,7252812
Grease,7/23/1978,1978,29,7341711
National Lampoon's Animal House,7/30/1978,1978,30,6901827
Grease,8/6/1978,1978,31,7878216
Grease,8/13/1978,1978,32,6812844
Grease,8/20/1978,1978,33,5176490
Grease,8/27/1978,1978,34,5100101
Grease,9/3/1978,1978,35,4870812
Grease,9/10/1978,1978,36,5300745
Grease,9/17/1978,1978,37,5134300
Grease,9/24/1978,1978,38,4809873
Grease,10/1/1978,1978,39,4100361
Grease,10/8/1978,1978,40,3519223
The Boys from Brazil,10/15/1978,1978,41,4161845
The Boys from Brazil,10/22/1978,1978,42,3812725
Halloween,10/29/1978,1978,43,3781462
Comes a Horseman,11/5/1978,1978,44,4000000
Comes a Horseman,11/12/1978,1978,45,2921872
The Lord of the Rings,11/19/1978,1978,46,6912728
The Lord of the Rings,11/26/1978,1978,47,3897501
The Lord of the Rings,12/3/1978,1978,48,2895923
Superman,12/10/1978,1978,49,8122315
Superman,12/17/1978,1978,50,6584025
Every Which Way But Loose,12/24/1978,1978,51,10272294
Superman,12/31/1978,1978,52,10363384
Superman,1/7/1979,1979,1,5609381
Superman,1/14/1979,1979,2,4982237
Superman,1/21/1979,1979,3,4326211
Superman,1/28/1979,1979,4,4120738
Superman,2/4/1979,1979,5,3900927
Superman,2/11/1979,1979,6,3808800
Superman,2/18/1979,1979,7,2987000
The Deer Hunter,2/25/1979,1979,8,6784912
The Deer Hunter,3/4/1979,1979,9,4212328
The Deer Hunter,3/11/1979,1979,10,3147811
The China Syndrome,3/18/1979,1979,11,3981991
The China Syndrome,3/25/1979,1979,12,2565912
The China Syndrome,4/1/1979,1979,13,2111513
The Champ,4/8/1979,1979,14,4681230
The Champ,4/15/1979,1979,15,3590231
The Champ,4/22/1979,1979,16,2990777
Manhattan,4/29/1979,1979,17,4978431
Manhattan,5/6/1979,1979,18,3878000
Manhattan,5/13/1979,1979,19,3109730
Beyond the Poseidon Adventure,5/20/1979,1979,20,5834021
Alien,5/27/1979,1979,21,7800915
Alien,6/3/1979,1979,22,6300210
Alien,6/10/1979,1979,23,5130400
Rocky II,6/17/1979,1979,24,8909871
The Muppet Movie,6/24/1979,1979,25,8980266
Moonraker,7/1/1979,1979,26,7800560
Moonraker,7/8/1979,1979,27,4900784
Dracula,7/15/1979,1979,28,4313957
Moonraker,7/22/1979,1979,29,5600210
The Amityville Horror,7/29/1979,1979,30,7130190
The Amityville Horror,8/5/1979,1979,31,4812654
The Amityville Horror,8/12/1979,1979,32,3190220
Apocalypse Now,8/19/1979,1979,33,6780909
Apocalypse Now,8/26/1979,1979,34,5761900
Apocalypse Now,9/2/1979,1979,35,5656912
Apocalypse Now,9/9/1979,1979,36,5123912
Apocalypse Now,9/16/1979,1979,37,4985912
Apocalypse Now,9/23/1979,1979,38,3874000
Apocalypse Now,9/30/1979,1979,39,3212790
10,10/7/1979,1979,40,4568910
10,10/14/1979,1979,41,3908381
10,10/21/1979,1979,42,3581934
10,10/28/1979,1979,43,3180581
10,11/4/1979,1979,44,3127756
10,11/11/1979,1979,45,2908501
10,11/18/1979,1979,46,2567412
10,11/25/1979,1979,47,2271936
10,12/2/1979,1979,48,1900782
Star Trek: The Motion Picture,12/9/1979,1979,49,11815203
Star Trek: The Motion Picture,12/16/1979,1979,50,7892503
Kramer vs. Kramer,12/23/1979,1979,51,9081979
Kramer vs. Kramer,12/30/1979,1979,52,5691834
Kramer vs. Kramer,1/6/1980,1980,1,7534812
Kramer vs. Kramer,1/13/1980,1980,2,6312945
Kramer vs. Kramer,1/20/1980,1980,3,4594211
Kramer vs Kramer,1/27/1980,1980,4,3421934
Fatso,2/3/1980,1980,5,3555174
The Fog,2/10/1980,1980,6,4566192
The Fog,2/17/1980,1980,7,4571200
Kramer vs Kramer,2/24/1980,1980,8,4347821
Kramer vs Kramer,3/2/1980,1980,9,3716529
Coal Miner's Daughter,3/9/1980,1980,10,6788544
Coal Miner's Daughter,3/16/1980,1980,11,4639918
Coal Miner's Daughter,3/23/1980,1980,12,4523217
Coal Miner's Daughter,3/30/1980,1980,13,3266311
Coal Miner's Daughter,4/6/1980,1980,14,2998678
Coal Miner's Daughter,4/13/1980,1980,15,2876987
Coal Miner's Daughter,4/20/1980,1980,16,2777346
Coal Miner's Daughter,4/27/1980,1980,17,2365348
Coal Miner's Daughter,5/4/1980,1980,18,2218341
Friday the 13th,5/11/1980,1980,19,8431511
The Long Riders,5/18/1980,1980,20,4170120
The Empire Strikes Back,5/25/1980,1980,21,10963384
The Empire Strikes Back,6/1/1980,1980,22,9800365
The Empire Strikes Back,6/8/1980,1980,23,9250200
The Empire Strikes Back,6/15/1980,1980,24,8445100
The Empire Strikes Back,6/22/1980,1980,25,6280755
The Empire Strikes Back,6/29/1980,1980,26,5590212
Airplane!,7/6/1980,1980,27,5721980
The Empire Strikes Back,7/13/1980,1980,28,6111801
Cheech & Chong's Next Movie,7/20/1980,1980,29,5988376
Caddyshack,7/27/1980,1980,30,6310723
Caddyshack,8/3/1980,1980,31,3571900
Caddyshack,8/10/1980,1980,32,3230167
Smokey and the Bandit II,8/17/1980,1980,33,6891236
Smokey and the Bandit II,8/24/1980,1980,34,4970245
Smokey and the Bandit II,8/31/1980,1980,35,3956443
Smokey and the Bandit II,9/7/1980,1980,36,3109120
The Empire Strikes Back,9/14/1980,1980,37,4876180
Ordinary People,9/21/1980,1980,38,5462237
Ordinary People,9/28/1980,1980,39,5781612
The Elephant Man,10/5/1980,1980,40,4976491
Private Benjamin,10/12/1980,1980,41,7812900
Private Benjamin,10/19/1980,1980,42,5314815
Private Benjamin,10/26/1980,1980,43,4327611
Private Benjamin,11/2/1980,1980,44,4645104
Private Benjamin,11/9/1980,1980,45,4561130
Private Benjamin,11/16/1980,1980,46,3341941
Private Benjamin,11/23/1980,1980,47,3114965
Private Benjamin,11/30/1980,1980,48,2987512
Flash Gordon,12/7/1980,1980,49,6312912
Stir Crazy,12/14/1980,1980,50,4390210
9 to 5,12/21/1980,1980,51,10237637
9 to 5,12/28/1980,1980,52,7838888
9 to 5,1/4/1981,1981,1,5567435
9 to 5,1/11/1981,1981,2,4788122
9 to 5,1/18/1981,1981,3,3455332
9 to 5,1/25/1981,1981,4,3233126
9 to 5,2/1/1981,1981,5,2475788
"Fort Apache, The Bronx",2/8/1981,1981,6,5111137
My Bloody Valentine,2/15/1981,1981,7,3573744
Eyewitness,2/22/1981,1981,8,5633332
Eyewitness,3/1/1981,1981,9,3755342
The Devil and Max Devlin,3/8/1981,1981,10,5422165
The Funhouse,3/15/1981,1981,11,2765456
Omen III: The Final Conflict,3/22/1981,1981,12,3222981
Omen III: The Final Conflict,3/29/1981,1981,13,3122311
Nighthawks,4/5/1981,1981,14,4844731
The Howling,4/12/1981,1981,15,4987866
Caveman,4/19/1981,1981,16,3529736
Caveman,4/26/1981,1981,17,3431199
Friday the 13th Part 2,5/3/1981,1981,18,6477531
The Burning,5/10/1981,1981,19,3233475
Happy Birthday to Me,5/17/1981,1981,20,3338765
The Four Seasons,5/24/1981,1981,21,10744612
The Four Seasons,5/31/1981,1981,22,6236965
The Four Seasons,6/7/1981,1981,23,5877288
Raiders of the Lost Ark,6/14/1981,1981,24,12130887
Superman II,6/21/1981,1981,25,14100523
For Your Eyes Only,6/28/1981,1981,26,9100741
Raiders of the Lost Ark,7/5/1981,1981,27,10733271
Escape from New York,7/12/1981,1981,28,5462100
Arthur,7/19/1981,1981,29,7655381
Arthur,7/26/1981,1981,30,5434810
Arthur,8/2/1981,1981,31,4541634
Raiders of the Lost Ark,8/9/1981,1981,32,8334521
Raiders of the Lost Ark,8/16/1981,1981,33,7511840
An American Werewolf in London,8/23/1981,1981,34,4623333
Raiders of the Lost Ark,8/30/1981,1981,35,3653558
